 Imunizações - Cobertura - São Paulo,,,,
Coberturas Vacinais por Município e Imunobiológicos,,,,
Imunobiológicos: Sarampo,,,,
Período:1997,coverage,,,
County,measles routine,,,
351570 Ferraz de Vasconcelos,120.32,,,
351580 Flora Rica,124.14,,,
351590 Floreal,96.55,,,
351600 Flórida Paulista,93.15,,,
351610 Florínia,87.93,,,
351620 Franca,98.08,,,
351630 Francisco Morato,113.59,,,
351640 Franco da Rocha,115.21,,,
351650 Gabriel Monteiro,136.67,,,
351660 Gália,97.06,,,
351670 Garça,115.62,,,
351680 Gastão Vidigal,137.50,,,
351685 Gavião Peixoto,44.55,,,
351690 General Salgado,108.44,,,
351700 Getulina,102.61,,,
351710 Glicério,152.83,,,
351720 Guaiçara,61.14,,,
351730 Guaimbê,114.43,,,
351740 Guaíra,152.92,,,
351750 Guapiaçu,132.97,,,
351760 Guapiara,118.43,,,
351770 Guará,92.44,,,
351780 Guaraçaí,93.49,,,
351790 Guaraci,77.05,,,
351800 Guarani d'Oeste,153.85,,,
351810 Guarantã,104.46,,,
351820 Guararapes,142.35,,,
351830 Guararema,143.51,,,
351840 Guaratinguetá,120.81,,,
351850 Guareí,136.20,,,
351860 Guariba,124.76,,,
351870 Guarujá,109.65,,,
351880 Guarulhos,133.92,,,
351885 Guatapará,87.29,,,
351890 Guzolândia,89.22,,,
351900 Herculândia,88.57,,,
351905 Holambra,196.00,,,
351907 Hortolândia,96.52,,,
351910 Iacanga,84.33,,,
351920 Iacri,129.63,,,
351925 Iaras,143.40,,,
351930 Ibaté,90.61,,,
351940 Ibirá,120.00,,,
351950 Ibirarema,131.86,,,
351960 Ibitinga,77.71,,,
351970 Ibiúna,89.93,,,
351980 Icém,70.40,,,
351990 Iepê,98.21,,,
352000 Igaraçu do Tietê,119.87,,,
352010 Igarapava,115.16,,,
352020 Igaratá,113.11,,,
352030 Iguape,155.60,,,
352042 Ilha Comprida,181.25,,,
352044 Ilha Solteira,134.53,,,
352040 Ilhabela,182.11,,,
352050 Indaiatuba,140.00,,,
352060 Indiana,85.42,,,
352070 Indiaporã,79.41,,,
352080 Inúbia Paulista,121.57,,,
352090 Ipaussu,144.91,,,
352100 Iperó,114.54,,,
352110 Ipeúna,97.37,,,
352120 Iporanga,81.29,,,
352130 Ipuã,101.46,,,
352140 Iracemápolis,133.82,,,
352150 Irapuã,126.47,,,
352160 Irapuru,105.61,,,
352170 Itaberá,136.45,,,
352180 Itaí,148.87,,,
352190 Itajobi,117.56,,,
352200 Itaju,100.00,,,
352210 Itanhaém,123.75,,,
352215 Itaóca,97.22,,,
352220 Itapecerica da Serra,106.37,,,
352230 Itapetininga,134.95,,,
352240 Itapeva,105.27,,,
352250 Itapevi,144.11,,,
352260 Itapira,107.54,,,
352265 Itapirapuã Paulista,222.73,,,
352270 Itápolis,92.57,,,
352280 Itaporanga,99.56,,,
352290 Itapuí,87.80,,,
352300 Itapura,101.54,,,
352310 Itaquaquecetuba,75.19,,,
352320 Itararé,93.57,,,
352330 Itariri,135.54,,,
352340 Itatiba,117.74,,,
352350 Itatinga,116.98,,,
352360 Itirapina,79.53,,,
352370 Itirapuã,219.01,,,
352380 Itobi,103.85,,,
352390 Itu,120.66,,,
352400 Itupeva,104.00,,,
352410 Ituverava,89.98,,,
352420 Jaborandi,96.08,,,
352430 Jaboticabal,109.92,,,
352440 Jacareí,141.95,,,
352450 Jaci,100.00,,,
352460 Jacupiranga,139.08,,,
352470 Jaguariúna,131.22,,,
352490 Jambeiro,70.91,,,
352500 Jandira,217.07,,,
352510 Jardinópolis,117.96,,,
352520 Jarinu,148.15,,,
352530 Jaú,104.74,,,
352540 Jeriquara,92.96,,,
352550 Joanópolis,112.84,,,
352560 João Ramalho,121.33,,,
352570 José Bonifácio,142.39,,,
352580 Júlio Mesquita,82.95,,,
352590 Jundiaí,134.85,,,
352600 Junqueirópolis,133.33,,,
352610 Juquiá,96.96,,,
352620 Juquitiba,94.55,,,
352630 Lagoinha,116.30,,,
352640 Laranjal Paulista,119.88,,,
352650 Lavínia,129.67,,,
352660 Lavrinhas,103.25,,,
352670 Leme,137.87,,,
352680 Lençóis Paulista,84.68,,,
