"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
GARÇA,1,2.47,,0.00,,,,GARCA,14,40481
GUAPIAÇU,1,7.96,,0.00,,,,GUAPIACU,22,12566
GUARÁ,3,16.47,,0.00,,,,GUARA,13,18215
GUARANI D'OESTE,2,98.91,,0.00,,,,GUARANI D'OESTE,22,2022
GUARARAPES,1,3.62,,0.00,,,,GUARARAPES,06,27608
GUARAREMA,2,11.11,,0.00,,,,GUARAREMA,03,17995
GUARATINGUETÁ,12,12.21,,0.00,,,,GUARATINGUETA,24,98265
GUARIBA,1,3.28,,0.00,,,,GUARIBA,18,30442
GUARUJÁ,18,7.95,,0.00,,,,GUARUJA,19,226365
GUARULHOS,631,64.89,2,0.32,,,,GUARULHOS,03,972384
HOLAMBRA,4,60.12,,0.00,,,,HOLAMBRA,20,6653
HORTOLÂNDIA,67,57.90,2,2.99,,,,HORTOLANDIA,12,115720
IBITINGA,1,2.36,,0.00,,,,IBITINGA,07,42359
IBIÚNA,10,17.88,,0.00,,,,IBIUNA,23,55920
IEPÊ,1,13.98,,0.00,,,,IEPE,16,7154
IGARAÇU DO TIETE,2,8.67,,0.00,,,,IGARACU DO TIETE,10,23077
IGUAPE,1,3.84,,0.00,,,,IGUAPE,17,26052
ILHA BELA,1,7.63,,0.00,,,,ILHA BELA,21,13100
ILHA COMPRIDA,1,29.12,,0.00,,,,ILHA COMPRIDA,17,3434
ILHA SOLTEIRA,1,4.52,,0.00,,,,ILHA SOLTEIRA,06,22145
INDAIATUBA,48,39.37,,0.00,,,,INDAIATUBA,12,121906
INDIANA,1,21.13,,0.00,,,,INDIANA,16,4733
IPERO,1,7.00,,0.00,,,,IPERO,23,14283
IPUA,1,9.10,,0.00,,,,IPUA,13,10994
IRACEMÁPOLIS,1,7.13,,0.00,,,,IRACEMAPOLIS,15,14024
ITABERA,2,10.72,,0.00,,,,ITABERA,23,18658
ITANHAÉM,4,6.89,,0.00,,,,ITANHAEM,19,58017
ITAPECERICA DA SERR,164,148.83,,0.00,,,,ITAPECERICA DA SERR,05,110196
ITAPETININGA,1,0.89,,0.00,,,,ITAPETININGA,23,112340
